referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
786889,Jannick van der Laan,360,50,50,0
786890,Alex Bos,120,50,50,0
786894,Aydin Uslu,120,50,50,0
786896,James Oldham,360,50,50,0
786908,Guido Gonzales Jr,240,50,50,0
786968,Carl Brook,120,50,50,0
786973,Leigh Doughty,360,50,50,0
786985,Alexandros Tsakalidis,120,48,48,0
786987,Jacob Miles,360,50,50,0
786991,Jordi Espinoza,360,50,50,0
787023,Yael Falcon Perez,FINAL,50,50,0
787028,Leandro Rey Hilfer,360,50,50,0
787072,Nico Gianforte,480|FINAL,41,41,0
787073,Giuseppe Collu,240,50,50,0
787080,Muhammetali Metoglu,480|FINAL,50,50,0
787093,Turgut Doman,FINAL,50,50,0
787098,Direnc Tonusluoglu,240,50,50,0
787105,Johannes von Mandach,360,49,49,0
787110,Burak Pakkan,120,50,50,0
787136,Mirel Turkes,480|FINAL,42,42,0
787153,Wesli De Cremer,FINAL,50,50,0
787181,Edina Alves Batista,240,50,50,0
787225,Lucas Paulo Torezin,360,50,50,0
787226,Richard Sundell,480|FINAL,50,50,0
787239,Gael Angoula,240,50,50,0
787241,Remi Landry,480|FINAL,50,50,0
787243,Thierry Bouille,FINAL,50,50,0
787244,Rosendo Mendoza,480|FINAL,50,50,0
787245,Felipe Fernandes de Lima,240,50,50,0
787250,Will Finnie,FINAL,50,50,0
787255,Jasper Vergoote,360,50,50,0
787265,David Rafael Oliveira da Silva,240,100,50,50
787273,Joao Antonio Ferreira Goncalves,360,50,50,0
787274,Sergio Guelho,FINAL,50,50,0
787275,Miguel Nogueira,480|FINAL,50,50,0
787281,Anojen Kanagasingam,120,47,47,0
787282,Felix Bickel,240,14,14,0
787286,Josh Smith,360,50,50,0
787310,Alper Akarsu,120,50,50,0
787315,Oguzhan Cakir,480|FINAL,50,50,0
787320,Ozan Ergun,480|FINAL,50,50,0
787325,Mehmet Turkmen,480|FINAL,50,50,0
787332,Tom Bauer,FINAL,38,38,0
787356,Pierre-Luc Lauziere,480|FINAL,50,50,0
787359,Jose Mendonca da Silva Junior,360,30,30,0
787369,Timo Gansloweit,FINAL,18,18,0
787393,Martijn Vos,360,50,50,0
787404,Thomas Parsons,FINAL,50,50,0
787405,James Bell,360,50,50,0
787421,Jonas Hansen,360,50,50,0
787512,Safak Barmaksiz,FINAL,51,17,34
787522,Tori Penso,FINAL,50,50,0
787524,Mischa Kellerhals,480|FINAL,7,7,0
787529,Stian Rovig Sletner,FINAL,23,23,0
787537,Emil Ristoskov,240,7,7,0
787561,Mathieu Vernice,480|FINAL,50,50,0
787562,Guillaume Paradis,240,50,50,0
787569,Malik Badawi,360,50,50,0
787575,Abdullah Bugra Taskinsoy,120,50,50,0
787576,Ramon Abatti Abel,480|FINAL,50,50,0
787582,Jon Freemon,360,50,50,0
787588,Flavio Lima,240,50,50,0
787591,Eric-Dominic Weisbach,240,27,27,0
787602,Felix Prigan,240,28,28,0
787605,Samuel Barrott,FINAL,100,50,50
787615,Julio Cesar Quiroz,360,50,50,0
787617,Paul Howard,480|FINAL,50,50,0
787633,Viorel Nicusor Flueran,FINAL,50,50,0
787636,Adi Aganovic,120,50,50,0
787650,Andrei Moroita,120,34,34,0
787670,Tom Reeves,FINAL,50,50,0
787671,Lewis Smith,360,50,50,0
787683,Daniel Ureta,120,50,50,0
787698,Szabolcs Kovacs,FINAL,50,50,0
787701,Andres Fuentes Molina,120,50,50,0
787734,Eddy Rosier,240,35,35,0
787747,Carlos Andres Gariano,120,50,50,0
787771,Oguzhan Aksu,480|FINAL,50,50,0
787777,Gurcan Hasova,240,50,50,0
787781,Davut Dakul Celik,240,42,42,0
787798,Mathias Stofringshaug,480|FINAL,29,29,0
787819,Paulo Cesar Zanovelli da Silva,480|FINAL,50,50,0
787834,Marc Bollengier,360,50,50,0
787850,João Pedro Afonso,360,41,41,0
787856,Helder Filipe Claudio Carvalho,240,50,50,0
787862,Oscar Johnson,480|FINAL,50,50,0
787881,Omer Faruk Turtay,480|FINAL,50,50,0
787892,Jarno Wienefeld,360,12,12,0
787902,Bruno Jose Ribeiro Pires Costa,120,50,50,0
787918,Maria Sole Ferrieri Caputi,360,50,50,0
787924,Paride Tremolada,480|FINAL,46,46,0
787932,Robin Hensgens,480|FINAL,50,50,0
787937,Matthew Russell,480|FINAL,33,33,0
787946,Sebastian Zunino,FINAL,100,52,48
787948,Andrew Kitchen,120,50,50,0
787953,Eder Mallo Fernandez,240,46,46,0
787968,Yusuf Ziya Gunduz,FINAL,21,21,0
788005,Resat Onur Coskunses,480|FINAL,45,45,0
788015,Jakob Semler,360,30,30,0
788019,Rares George Vidican,480|FINAL,50,50,0
