ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
37234,Leon Balogun,https://api.sofascore.com/api/v1/player/37234/image,Nigeria,,D,190,,
37313,Aleksandar Dragović,https://api.sofascore.com/api/v1/player/37313/image,Austria,05/03/1991,D,184,Both,635000
37318,Ante Budimir,https://api.sofascore.com/api/v1/player/37318/image,Croatia,21/07/1991,F,190,Left,2600000
37378,Roman Bürki,https://api.sofascore.com/api/v1/player/37378/image,Switzerland,,G,187,,
37432,Heinz Lindner,https://api.sofascore.com/api/v1/player/37432/image,Austria,16/07/1990,G,187,Right,97000
37457,Mirnes Bećirović,https://api.sofascore.com/api/v1/player/37457/image,Austria,,D,175,,
37752,Steven Zuber,https://api.sofascore.com/api/v1/player/37752/image,Switzerland,16/08/1991,M,182,Right,515000
37805,Amir Abrashi,https://api.sofascore.com/api/v1/player/37805/image,Albania,26/03/1990,M,172,Right,105000
37820,Anthony Sauthier,https://api.sofascore.com/api/v1/player/37820/image,Switzerland,,D,184,,
37952,Patricio Rodríguez,https://api.sofascore.com/api/v1/player/37952/image,Argentina,,F,172,,
38106,Damián Martínez,https://api.sofascore.com/api/v1/player/38106/image,Argentina,,D,177,,
38162,Duván Zapata,https://api.sofascore.com/api/v1/player/38162/image,Colombia,31/03/1991,F,189,Right,2600000
38440,Kevin Trapp,https://api.sofascore.com/api/v1/player/38440/image,Germany,07/07/1990,G,189,Right,1900000
38560,Dušan Tadić,https://api.sofascore.com/api/v1/player/38560/image,Serbia,19/11/1988,F,181,Left,1400000
38574,Nenad Tomović,https://api.sofascore.com/api/v1/player/38574/image,Serbia,,D,184,,
38624,Michael Boxall,https://api.sofascore.com/api/v1/player/38624/image,New Zealand,,D,188,,
38710,Ivan Perišić,https://api.sofascore.com/api/v1/player/38710/image,Croatia,01/02/1989,M,187,Both,1200000
39066,Yacine Brahimi,https://api.sofascore.com/api/v1/player/39066/image,Algeria,,M,175,,
39070,Olivier Giroud,https://api.sofascore.com/api/v1/player/39070/image,France,29/09/1986,F,192,Left,930000
39071,Marcos Paulo Gomes,https://api.sofascore.com/api/v1/player/39071/image,Brazil,,M,182,,
39244,Lucas Pratto,https://api.sofascore.com/api/v1/player/39244/image,Argentina,,F,188,,
39327,Liam Cooper,https://api.sofascore.com/api/v1/player/39327/image,Scotland,,D,186,,
39376,Rodrigo Rojas,https://api.sofascore.com/api/v1/player/39376/image,Paraguay,,M,180,,
39457,Anthony Moris,https://api.sofascore.com/api/v1/player/39457/image,Luxembourg,,G,184,,
39562,Dmytro Nepohodov,https://api.sofascore.com/api/v1/player/39562/image,Kazakhstan,,G,199,,
39573,Mert Günok,https://api.sofascore.com/api/v1/player/39573/image,Türkiye,28/02/1989,G,196,Right,545000
39591,Aleksandar Miljković,https://api.sofascore.com/api/v1/player/39591/image,Serbia,,D,181,,
39656,Alan Kardec,https://api.sofascore.com/api/v1/player/39656/image,Brazil,10/01/1989,F,185,Right,90000
39661,Taison,https://api.sofascore.com/api/v1/player/39661/image,Brazil,12/01/1988,M,172,Right,240000
40239,Timothy Chandler,https://api.sofascore.com/api/v1/player/40239/image,USA,28/03/1990,M,186,Right,375000
40244,Oliver Baumann,https://api.sofascore.com/api/v1/player/40244/image,Germany,01/06/1990,G,185,Right,2700000
40672,Francis Coquelin,https://api.sofascore.com/api/v1/player/40672/image,France,12/05/1991,M,178,Right,740000
40767,Yonatan Irrazábal,https://api.sofascore.com/api/v1/player/40767/image,Uruguay,,G,184,,
40963,Jeroen Zoet,https://api.sofascore.com/api/v1/player/40963/image,Netherlands,05/01/1991,G,186,Right,230000
41069,Aleksandar Pešić,https://api.sofascore.com/api/v1/player/41069/image,Serbia,,F,190,,
41222,Massimo Coda,https://api.sofascore.com/api/v1/player/41222/image,Italy,,F,184,,
41236,Matjaž Rozman,https://api.sofascore.com/api/v1/player/41236/image,Slovenia,,G,192,,
41560,Sergio Canales,https://api.sofascore.com/api/v1/player/41560/image,Spain,15/02/1991,M,176,Left,3200000
41615,Ron-Robert Zieler,https://api.sofascore.com/api/v1/player/41615/image,Germany,11/02/1989,G,188,Right,455000
41789,Robert Lewandowski,https://api.sofascore.com/api/v1/player/41789/image,Poland,20/08/1988,F,186,Right,6500000
42209,Martin Dúbravka,https://api.sofascore.com/api/v1/player/42209/image,Slovakia,14/01/1989,G,190,Right,485000
42450,Ezequiel Muñoz,https://api.sofascore.com/api/v1/player/42450/image,Argentina,,D,185,,
42454,Damián Díaz,https://api.sofascore.com/api/v1/player/42454/image,Ecuador,,F,175,,
42455,Nicolás Gaitán,https://api.sofascore.com/api/v1/player/42455/image,Argentina,,M,173,,
42573,Mauro Díaz,https://api.sofascore.com/api/v1/player/42573/image,Argentina,,M,170,,
42694,Jordan Henderson,https://api.sofascore.com/api/v1/player/42694/image,England,16/06/1990,M,183,Right,1300000
42707,Steve Cook,https://api.sofascore.com/api/v1/player/42707/image,England,,D,185,,
42853,Artur Nigmatullin,https://api.sofascore.com/api/v1/player/42853/image,Russia,,G,193,,
42951,Mathieu Peybernes,https://api.sofascore.com/api/v1/player/42951/image,France,,D,187,,
43432,Christian Brüls,https://api.sofascore.com/api/v1/player/43432/image,Belgium,,F,179,,
43443,Aaron Cresswell,https://api.sofascore.com/api/v1/player/43443/image,England,14/12/1989,D,170,Left,320000
43559,Güray Vural,https://api.sofascore.com/api/v1/player/43559/image,Türkiye,,D,177,,
43830,Francesco Di Tacchio,https://api.sofascore.com/api/v1/player/43830/image,Italy,,M,186,,
43954,Robert Gucher,https://api.sofascore.com/api/v1/player/43954/image,Austria,,D,183,,
43970,Marco Silvestri,https://api.sofascore.com/api/v1/player/43970/image,Italy,,G,191,,
