referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
81543,George Catalin Gaman,Romania,50,2026-08-23,2022-02-07,4.56,0.2,49.6,25.04,30.84,1.42,3.34,0.0,152,Liga I,george catalin gaman,240
789568,George Catalin Roman,Romania,23,2026-08-29,2024-08-16,3.96,0.13,42.17,24.91,31.62,1.13,2.96,0.0,152,Liga I,george catalin roman,240
790636,George Laflin,England,2,2026-05-02,2026-04-06,5.0,1.0,70.0,28.0,21.0,3.5,2.5,0.0,24|25,League One|League Two,george laflin,240
184579,German Cid Camacho,Spain,50,2026-08-21,2023-11-26,5.18,0.2,55.8,26.26,32.16,1.66,3.72,0.0,54,LaLiga Hypermotion,german cid camacho,240
132287,Gianluca Manganiello,Italy,50,2026-08-28,2023-11-06,3.82,0.24,43.0,25.7,34.59,1.36,2.7,0.0,23|53,Serie A|Serie B,gianluca manganiello,240
785926,Giovanni Ayroldi,Italy,50,2026-08-23,2023-05-05,5.54,0.42,63.8,29.44,23.4,2.24,3.72,0.0,23|53,Serie A|Serie B,giovanni ayroldi,240
787073,Giuseppe Collu,Italy,50,2026-08-29,2023-08-29,4.42,0.14,47.0,27.24,31.59,1.62,2.94,0.0,23|53,Serie A|Serie B,giuseppe collu,240
788379,Giuseppe Mucera,Italy,19,2026-08-29,2025-08-30,3.21,0.26,37.37,26.05,31.42,1.37,2.11,0.0,23|53,Serie A|Serie B,giuseppe mucera,240
96648,Glenn Nyberg,Sweden,50,2026-08-30,2022-11-13,3.62,0.14,39.0,26.42,34.7,1.58,2.18,0.0,40|185,Allsvenskan|Super League Greece,glenn nyberg,240
789112,Goncalo Rafael dos Santos Neves,Portugal,28,2026-08-09,2023-09-17,5.46,0.39,62.5,28.54,34.46,1.46,4.39,0.0,238|239,Liga Portugal|Liga Portugal 2,goncalo rafael dos santos neves,240
790950,Gonzalo Pereira,Argentina,1,2026-08-07,2026-08-07,4.0,0.0,40.0,21.0,11.0,2.0,2.0,0.0,155,Liga Profesional Argentina,gonzalo pereira,240
789775,Gonzalo Romero Freixas,Spain,1,2026-08-23,2026-08-23,2.0,0.0,20.0,27.0,32.0,1.0,1.0,0.0,54,LaLiga Hypermotion,gonzalo romero freixas,240
788716,Gorka Etayo Herrera,Spain,23,2026-08-22,2025-08-17,4.43,0.22,48.7,26.74,32.3,1.13,3.52,0.0,54,LaLiga Hypermotion,gorka etayo herrera,240
785884,Granit Maqedonci,Sweden,50,2026-08-16,2024-05-05,2.66,0.06,27.8,23.0,38.39,0.88,1.84,0.0,40,Allsvenskan,granit maqedonci,240
786908,Guido Gonzales Jr,USA,50,2026-08-29,2024-05-18,4.3,0.18,46.6,23.62,32.28,1.58,2.88,0.02,242,MLS,guido gonzales jr,240
787562,Guillaume Paradis,France,50,2026-08-22,2023-09-02,3.92,0.24,44.0,26.42,32.52,1.32,2.84,0.0,34|182,Ligue 1|Ligue 2,guillaume paradis,240
787777,Gurcan Hasova,Türkiye,50,2026-08-29,2021-04-25,5.08,0.32,57.2,27.72,27.16,2.22,3.18,0.0,52|98,1. Lig|Süper Lig,gurcan hasova,240
786809,Gustavo Correia,Portugal,50,2026-08-29,2023-03-10,6.08,0.4,68.8,28.84,28.84,1.86,4.62,0.0,238|239,Liga Portugal|Liga Portugal 2,gustavo correia,240
789001,Gustavo Ervino Bauermann,Brazil,45,2026-08-20,2023-08-12,5.6,0.22,60.44,27.23,29.67,1.96,3.87,0.0,325|390,Brasileirão Série A|Brasileirão Série B,gustavo ervino bauermann,240
788520,Hajrim Qovanaj,Switzerland,3,2026-08-09,2026-03-08,5.0,0.33,56.67,17.0,25.67,2.33,3.0,0.0,215,Swiss Super League,hajrim qovanaj,240
789245,Hakan Ulker,Türkiye,10,2026-05-01,2025-08-23,3.6,0.3,42.0,23.5,33.2,1.4,2.5,0.0,98,1. Lig,hakan ulker,240
81376,Hakim Ben el Salem Hadj,France,50,2026-08-29,2023-09-02,4.0,0.2,44.0,25.22,30.08,1.5,2.7,0.0,34|182,Ligue 1|Ligue 2,hakim ben el salem hadj,240
785240,Halil Umut Meler,Türkiye,50,2026-08-16,2023-12-11,4.36,0.32,50.0,26.38,32.82,1.64,3.04,0.0,52|98|185,1. Lig|Super League Greece|Süper Lig,halil umut meler,240
52558,Harald Lechner,Austria,50,2026-08-02,2022-08-06,4.32,0.24,48.0,22.14,28.48,1.44,3.12,0.0,45,Austrian Bundesliga,harald lechner,240
70951,Harm Osmers,Germany,50,2026-08-09,2023-12-03,4.16,0.18,45.2,21.38,33.33,1.36,2.98,0.0,35|44|185,2. Bundesliga|Bundesliga|Super League Greece,harm osmers,240
790633,Harrison Blair,England,6,2026-08-15,2026-02-14,3.33,0.17,36.67,22.33,40.5,0.83,2.67,0.0,24|25,League One|League Two,harrison blair,240
790603,Harry Wager,England,10,2026-08-15,2025-12-20,4.4,0.0,44.0,22.5,28.6,2.4,2.0,0.0,24|25,League One|League Two,harry wager,240
790998,Hatice Aydin,Türkiye,1,2026-05-01,2026-05-01,2.0,1.0,40.0,16.0,78.0,0.0,3.0,0.0,98,1. Lig,hatice aydin,240
787856,Helder Filipe Claudio Carvalho,Portugal,50,2026-08-16,2023-08-21,5.02,0.22,54.6,30.71,32.36,1.82,3.42,0.0,238|239,Liga Portugal|Liga Portugal 2,helder filipe claudio carvalho,240
89559,Helder Malheiro,Portugal,50,2026-05-16,2024-01-14,4.94,0.3,55.4,30.0,35.2,1.92,3.32,0.0,238|239,Liga Portugal|Liga Portugal 2,helder malheiro,240
